,INDEX,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
0,1,0,0,60.0,0,11.0,60.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,49.012362637362635,45.56938227394807,14,45.011106780982075,46.166666666666664,11,44.94965034965035,45.063919259882255,60.0,2,44.91439743052646,3,18.0,45.01494146642021
1,2,0,0,43.0,0,11.0,43.0,45.84457933370977,43.0,43.833486378940925,45.402535657686215,43.20085836909871,44.37430880476393,22,44.41663915483658,56.5,1,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
2,4,0,0,35.0,1,10.0,35.0,45.84457933370977,35.0,45.42930118512464,44.2608,43.20085836909871,41.798583792289534,5,45.011106780982075,37.5,4,44.204010462074976,44.678021787999306,35.0,2,44.91439743052646,3,10.0,45.01494146642021
3,5,0,0,51.0,0,14.0,43.79056603773585,45.84457933370977,51.0,45.42930118512464,45.402535657686215,42.19285120532003,44.37430880476393,32,45.011106780982075,50.833333333333336,7,44.94965034965035,45.063919259882255,45.0592932721102,0,44.91439743052646,0,6.0,45.01494146642021
4,6,0,0,50.0,0,11.0,50.0,45.84457933370977,50.0,45.42930118512464,44.2608,49.012362637362635,50.51219512195122,36,45.011106780982075,48.25,1,44.204010462074976,44.678021787999306,50.0,2,43.903,3,17.0,45.01494146642021
5,7,1,0,34.0,1,12.0,34.0,37.85701021355617,43.55148658448151,43.833486378940925,44.2608,44.589652096342554,44.37430880476393,46,44.41663915483658,41.6,1,45.33847850055127,44.678021787999306,45.0592932721102,0,44.91439743052646,0,7.0,45.01494146642021
6,8,0,0,54.0,0,11.0,54.0,45.84457933370977,43.55148658448151,45.42930118512464,44.2608,42.19285120532003,44.37430880476393,33,45.011106780982075,45.0,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
7,11,1,1,37.0,2,11.0,37.0,45.84457933370977,37.0,45.42930118512464,45.402535657686215,44.589652096342554,44.37430880476393,44,44.41663915483658,46.714285714285715,1,45.352,45.063919259882255,37.0,1,43.903,10,7.0,45.01494146642021
8,12,1,0,34.0,0,10.0,34.0,45.84457933370977,43.55148658448151,43.833486378940925,44.2608,44.589652096342554,41.798583792289534,34,45.011106780982075,42.0,1,44.204010462074976,44.678021787999306,45.0592932721102,0,44.91439743052646,0,1.0,45.01494146642021
9,13,0,0,50.0,0,7.0,50.0,45.84457933370977,43.55148658448151,43.833486378940925,45.402535657686215,44.589652096342554,45.56938227394807,48,44.41663915483658,49.2,7,45.352,44.678021787999306,45.0592932721102,0,44.91439743052646,1,17.0,43.91731575793889
